#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
Leadbetterella byssophila DSM 17132,Bacteria;FCB group;Bacteroidetes/Chlorobi group,DSM 17132,SAMN00191237,PRJNA38283,GCA_000166395.1,Complete,4.05965,40.4,chromosome:NC_014655.1/CP002305.1,,1,3505,2010-11-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/395/GCA_000166395.1_ASM16639v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/395/GCF_000166395.1_ASM16639v1
Leclercia adecarboxylata,Bacteria;Proteobacteria;Gammaproteobacteria,USDA-ARS-USMARC-60222,SAMN04158503,PRJNA281531,GCA_001518835.1,Complete,4.80392,55.8,chromosome:NZ_CP013990.1/CP013990.1,,1,4346,2016-01-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/518/835/GCA_001518835.1_ASM151883v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/518/835/GCF_001518835.1_ASM151883v1
Lederbergia lentus,Bacteria;Terrabacteria group;Firmicutes,NCTC4824,SAMEA4040590,PRJEB6403,GCA_900478165.1,Complete,4.38437,36.7,chromosome 1:NZ_LS483476.1/LS483476.1,,1,4010,2018-06-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/478/165/GCA_900478165.1_48290_A02,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/478/165/GCF_900478165.1_48290_A02
Leeuwenhoekiella palythoae,Bacteria;FCB group;Bacteroidetes/Chlorobi group,F5,SAMN21876824,PRJNA766805,GCA_020310025.1,Complete,3.99477,39.9,chromosome:NZ_CP084318.1/CP084318.1,,1,3375,2021-10-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/310/025/GCA_020310025.1_ASM2031002v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/310/025/GCF_020310025.1_ASM2031002v1
Legionella pneumophila,Bacteria;Proteobacteria;Gammaproteobacteria,C9_S,SAMN05180030,PRJNA323476,GCA_001753085.1,Complete,3.50407,38.3271,chromosome:NZ_CP015941.1/CP015941.1; plasmid unnamed1:NZ_CP015942.1/CP015942.1; plasmid unamed2:NZ_CP015943.1/CP015943.1,,3,3066,2016-10-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/753/085/GCA_001753085.1_ASM175308v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/085/GCF_001753085.1_ASM175308v1
Leifsonia xyli subsp. cynodontis DSM 46306,Bacteria;Terrabacteria group;Actinobacteria,DSM 46306,SAMN02603223,PRJNA215687,GCA_000470775.1,Complete,2.68642,68.3,chromosome:NC_022438.1/CP006734.1,,1,2251,2013-09-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/470/775/GCA_000470775.1_ASM47077v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/470/775/GCF_000470775.1_ASM47077v1
Leisingera methylohalidivorans DSM 14336,Bacteria;Proteobacteria;Alphaproteobacteria,DSM 14336; MB2,SAMN02769646,PRJNA74371,GCA_000511355.1,Complete,4.651,62.3557,chromosome:NC_023135.1/CP006773.1; plasmid unnamed:NC_023146.1/CP006774.1; plasmid unnamed2:NC_023136.1/CP006775.1,,3,4235,2013-12-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/511/355/GCA_000511355.1_ASM51135v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/511/355/GCF_000511355.1_ASM51135v1
Leminorella richardii,Bacteria;Proteobacteria;Gammaproteobacteria,NCTC12151,SAMEA2548145,PRJEB6403,GCA_900478135.1,Complete,3.97627,51.9,chromosome 1:NZ_LS483470.1/LS483470.1,,1,3401,2018-06-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/478/135/GCA_900478135.1_28193_H01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/478/135/GCF_900478135.1_28193_H01
Lentibacillus amyloliquefaciens,Bacteria;Terrabacteria group;Firmicutes,LAM0015,SAMN04103130,PRJNA296764,GCA_001307805.2,Complete,3.85828,42.1,chromosome:NZ_CP013862.1/CP013862.1,,1,3677,2016-01-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/805/GCA_001307805.2_ASM130780v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/307/805/GCF_001307805.1_ASM130780v2
Lentilactobacillus hilgardii,Bacteria;Terrabacteria group;Firmicutes,LMG 07934,SAMN14262734,PRJNA609644,GCA_011765585.1,Complete,2.77186,39.7,chromosome:NZ_CP050262.1/CP050262.1,,1,2566,2020-03-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/765/585/GCA_011765585.1_ASM1176558v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/765/585/GCF_011765585.1_ASM1176558v1
Lentzea guizhouensis,Bacteria;Terrabacteria group;Actinobacteria,DHS C013,SAMN05369592,PRJNA328305,GCA_001701025.1,Complete,9.99787,70,chromosome:NZ_CP016793.1/CP016793.1,,1,9215,2016-08-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/701/025/GCA_001701025.1_ASM170102v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/701/025/GCF_001701025.1_ASM170102v1
Leptolyngbya boryana IAM M-101,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,IAM M-101,SAMD00019988,PRJDB706,GCA_002142475.1,Complete,6.80347,47.013,chromosome:NZ_AP014638.1/AP014638.1; plasmid pLBA:NZ_AP014639.1/AP014639.1; plasmid pLBX:NZ_AP014640.1/AP014640.1; plasmid pLBY:NZ_AP014641.1/AP014641.1,,4,6186,2015-02-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/142/475/GCA_002142475.1_ASM214247v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/142/475/GCF_002142475.1_ASM214247v1
Leptospira interrogans serovar Copenhageni,Bacteria;Spirochaetes;Spirochaetia,FDAARGOS_203,SAMN04875540,PRJNA231221,GCA_002073495.2,Complete,4.63076,35,chromosome:NZ_CP020414.2/CP020414.2; plasmid unnamed1:NZ_CP020413.2/CP020413.2,,2,3631,2017-03-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/073/495/GCA_002073495.2_ASM207349v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/495/GCF_002073495.2_ASM207349v2
Leptospirillum ferrooxidans C2-3,Bacteria;Nitrospirae;Nitrospira,C2-3,SAMD00061058,PRJDB73,GCA_000284315.1,Complete,2.55954,50,chromosome:NC_017094.1/AP012342.1,,1,2389,2012-03-30T23:06:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/315/GCA_000284315.1_ASM28431v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/315/GCF_000284315.1_ASM28431v1
Leptothrix cholodnii SP-6,Bacteria;Proteobacteria;Betaproteobacteria,SP-6,SAMN02598429,PRJNA20039,GCA_000019785.1,Complete,4.9094,68.9,chromosome:NC_010524.1/CP001013.1,,1,4349,2008-03-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/785/GCA_000019785.1_ASM1978v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/785/GCF_000019785.1_ASM1978v1
Leptotrichia hofstadii,Bacteria;Fusobacteria;Fusobacteriia,JCM16775,SAMD00156223,PRJDB7856,GCA_007990525.1,Complete,2.60438,30.5901,chromosome:NZ_AP019823.1/AP019823.1; plasmid pJCM16775-1:NZ_AP019824.1/AP019824.1; plasmid pJCM16775-2:NZ_AP019825.1/AP019825.1; plasmid pJCM16775-3:NZ_AP019826.1/AP019826.1,,4,2420,2019-07-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/990/525/GCA_007990525.1_ASM799052v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/990/525/GCF_007990525.1_ASM799052v1
Leucobacter triazinivorans,Bacteria;Terrabacteria group;Actinobacteria,JW-1,SAMN10857004,PRJNA518735,GCA_004208635.1,Complete,3.47881,69.4,chromosome:NZ_CP035806.1/CP035806.1,,1,3033,2019-02-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/208/635/GCA_004208635.1_ASM420863v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/208/635/GCF_004208635.1_ASM420863v1
Leuconostoc mesenteroides,Bacteria;Terrabacteria group;Firmicutes,SRCM102733,SAMN08707608,PRJNA438180,GCA_009913915.1,Complete,2.05873,37.7211,chromosome:NZ_CP028251.1/CP028251.1; plasmid unnamed1:NZ_CP028252.1/CP028252.1; plasmid unnamed2:NZ_CP028253.1/CP028253.1,,3,1965,2020-01-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/913/915/GCA_009913915.1_ASM991391v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/913/915/GCF_009913915.1_ASM991391v1
Levilactobacillus brevis,Bacteria;Terrabacteria group;Firmicutes,NPS-QW-145,SAMN04871683,PRJNA318996,GCA_001676805.1,Complete,2.55267,45.8,chromosome:NZ_CP015398.1/CP015398.1,,1,2409,2016-06-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/676/805/GCA_001676805.1_ASM167680v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/676/805/GCF_001676805.1_ASM167680v1
Liberibacter crescens,Bacteria;Proteobacteria;Alphaproteobacteria,BT-0,SAMN03256334,PRJNA269727,GCA_001543305.1,Complete,1.52212,35.4,chromosome:NZ_CP010522.1/CP010522.1,,1,1310,2016-02-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/543/305/GCA_001543305.1_ASM154330v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/543/305/GCF_001543305.1_ASM154330v1
Lichenicola cladoniae,Bacteria;Proteobacteria;Alphaproteobacteria,PAMC 26569,SAMN14917828,PRJNA632689,GCA_013201075.1,Complete,6.0613,64.6396,chromosome:NZ_CP053708.1/CP053708.1; plasmid unnamed1:NZ_CP053709.1/CP053709.1; plasmid unnamed2:NZ_CP053710.1/CP053710.1; plasmid unnamed4:NZ_CP053711.1/CP053711.1; plasmid unnamed5:NZ_CP053712.1/CP053712.1; plasmid unnamed6:NZ_CP053713.1/CP053713.1; plasmid unnamed7:NZ_CP053714.1/CP053714.1; plasmid unnamed8:NZ_CP053715.1/CP053715.1,,8,5447,2020-05-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/201/075/GCA_013201075.1_ASM1320107v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/201/075/GCF_013201075.1_ASM1320107v1
Ligilactobacillus salivarius,Bacteria;Terrabacteria group;Firmicutes,LPM01,SAMEA4359642,PRJEB14980,GCA_900094615.1,Complete,2.03336,32.9158,chromosome I:NZ_LT604074.1/LT604074.1; plasmid II:NZ_LT604075.1/LT604075.1,,2,1824,2016-09-30T23:10:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/094/615/GCA_900094615.1_ASM90009461v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/094/615/GCF_900094615.1_ASM90009461v1
Lignipirellula cremea,Bacteria;PVC group;Planctomycetes,Pla85_3_4,SAMN10954030,PRJNA485700,GCA_007751035.1,Complete,9.56523,61.4,chromosome:NZ_CP036433.1/CP036433.1,,1,6995,2019-07-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/751/035/GCA_007751035.1_ASM775103v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/751/035/GCF_007751035.1_ASM775103v1
Limihaloglobus sulfuriphilus,Bacteria;PVC group;Planctomycetes,SM-Chi-D1,SAMN06284589,PRJNA369380,GCA_001999965.1,Complete,3.86836,47,chromosome:NZ_CP019646.1/CP019646.1,,1,2915,2017-02-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/999/965/GCA_001999965.1_ASM199996v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/999/965/GCF_001999965.1_ASM199996v1
Limnobaculum parvum,Bacteria;Proteobacteria;Gammaproteobacteria,HYN0051,SAMN08969739,PRJNA451400,GCA_003096015.2,Complete,3.84177,46,chromosome:NZ_CP029185.2/CP029185.2,,1,3062,2018-05-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/096/015/GCA_003096015.2_ASM309601v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/096/015/GCF_003096015.2_ASM309601v2
Limnochorda pilosa,Bacteria;Terrabacteria group;Firmicutes,HC45,SAMD00034894,PRJDB4026,GCA_001544015.1,Complete,3.81704,69.7,chromosome Unknown:NZ_AP014924.1/AP014924.1,,1,3499,2015-08-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/544/015/GCA_001544015.1_ASM154401v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/544/015/GCF_001544015.1_ASM154401v1
Limnoglobus roseus,Bacteria;PVC group;Planctomycetes,PX52,SAMN12360391,PRJNA556575,GCA_008254045.1,Complete,9.3781,65.6,chromosome:NZ_CP042425.1/CP042425.1,,1,7977,2019-09-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/254/045/GCA_008254045.1_ASM825404v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/254/045/GCF_008254045.1_ASM825404v1
Limosilactobacillus vaginalis,Bacteria;Terrabacteria group;Firmicutes,LV515,SAMN12784813,PRJNA566211,GCA_009362935.1,Complete,1.89471,40.5,chromosome:NZ_CP045240.1/CP045240.1,,1,1725,2019-10-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/362/935/GCA_009362935.1_ASM936293v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/362/935/GCF_009362935.1_ASM936293v1
Listeria innocua,Bacteria;Terrabacteria group;Firmicutes,CFSAN044836,SAMN04417899,PRJNA541969,GCA_009648575.1,Complete,2.92215,37.4705,chromosome:NZ_CP045743.1/CP045743.1; plasmid pCFSAN044836:NZ_CP045744.1/CP045744.1,,2,2846,2019-11-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/648/575/GCA_009648575.1_ASM964857v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/648/575/GCF_009648575.1_ASM964857v1
Litoricola lipolytica,Bacteria;Proteobacteria;Gammaproteobacteria,IMCC 1097,SAMN13193731,PRJNA587557,GCA_009650135.1,Complete,2.34604,58.8,chromosome:NZ_CP045871.1/CP045871.1,,1,2332,2019-11-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/650/135/GCA_009650135.1_ASM965013v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/650/135/GCF_009650135.1_ASM965013v1
Litorilituus sediminis,Bacteria;Proteobacteria;Gammaproteobacteria,JCM 17549,SAMN10662180,PRJNA512160,GCA_004295665.1,Complete,4.27572,39.4,chromosome:NZ_CP034759.1/CP034759.1,,1,3672,2019-02-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/295/665/GCA_004295665.1_ASM429566v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/295/665/GCF_004295665.1_ASM429566v1
Loigolactobacillus coryniformis subsp. coryniformis KCTC 3167 = DSM 20001,Bacteria;Terrabacteria group;Firmicutes,DSM 20001,SAMN05920237,PRJNA349078,GCA_002706425.1,Complete,2.95151,43.1,chromosome:NZ_CP017713.1/CP017713.1,,1,2689,2017-10-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/706/425/GCA_002706425.1_ASM270642v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/706/425/GCF_002706425.1_ASM270642v1
Longicatena caecimuris,Bacteria;Terrabacteria group;Firmicutes,3BBH23,SAMD00283801,PRJDB11313,GCA_018406465.1,Complete,3.10376,38.3,chromosome:NZ_AP024510.1/AP024510.1,,1,2785,2021-03-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/406/465/GCA_018406465.1_ASM1840646v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/406/465/GCF_018406465.1_ASM1840646v1
Lonsdalea populi,Bacteria;Proteobacteria;Gammaproteobacteria,N-5-1,SAMN16993121,PRJNA682499,GCA_015999465.1,Complete,3.85971,55.5,chromosome:NZ_CP065534.1/CP065534.1,,1,3224,2020-12-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/999/465/GCA_015999465.1_ASM1599946v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/999/465/GCF_015999465.1_ASM1599946v1
Luteibacter rhizovicinus DSM 16549,Bacteria;Proteobacteria;Gammaproteobacteria,LJ96,SAMN05853519,PRJNA344944,GCA_001887595.1,Complete,4.76549,64.7,chromosome:NZ_CP017480.1/CP017480.1,,1,4287,2016-11-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/887/595/GCA_001887595.1_ASM188759v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/887/595/GCF_001887595.1_ASM188759v1
Luteimicrobium xylanilyticum,Bacteria;Terrabacteria group;Actinobacteria,HY-24,SAMN13106273,PRJNA579204,GCA_009429125.1,Complete,4.20828,72.8,chromosome:NZ_CP045529.1/CP045529.1,,1,3666,2019-10-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/429/125/GCA_009429125.1_ASM942912v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/429/125/GCF_009429125.1_ASM942912v1
Luteimonas chenhongjianii,Bacteria;Proteobacteria;Gammaproteobacteria,100111,SAMN07357069,PRJNA407011,GCA_002327105.1,Complete,3.35178,68.3,chromosome:NZ_CP023406.1/CP023406.1,,1,2925,2017-09-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/327/105/GCA_002327105.1_ASM232710v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/327/105/GCF_002327105.1_ASM232710v1
Luteipulveratus mongoliensis,Bacteria;Terrabacteria group;Actinobacteria,MN07-A0370,SAMN03421079,PRJNA278633,GCA_001190945.1,Complete,5.42091,68.2,chromosome:NZ_CP011112.1/CP011112.1,,1,5122,2015-08-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/190/945/GCA_001190945.1_ASM119094v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/190/945/GCF_001190945.1_ASM119094v1
Luteitalea pratensis,Bacteria;Acidobacteria;Vicinamibacteria,DSM 100886; HEG_-6_39,SAMN04546182,PRJNA314952,GCA_001618865.1,Complete,7.48031,67.2,chromosome:NZ_CP015136.1/CP015136.1,,1,6099,2016-04-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/618/865/GCA_001618865.1_ASM161886v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/618/865/GCF_001618865.1_ASM161886v1
Luteithermobacter gelatinilyticus,Bacteria;Proteobacteria;Alphaproteobacteria,MEBiC09520,SAMN11774873,PRJNA543680,GCA_005849285.1,Complete,3.14589,54.7,chromosome:NZ_CP040517.1/CP040517.1,,1,2757,2019-05-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/849/285/GCA_005849285.1_ASM584928v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/849/285/GCF_005849285.1_ASM584928v1
Luteolibacter luteus,Bacteria;PVC group;Verrucomicrobia,G-1-1-1,SAMN14642216,PRJNA626486,GCA_012913485.1,Complete,6.41208,61,chromosome:NZ_CP051774.1/CP051774.1,,1,5197,2020-04-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/913/485/GCA_012913485.1_ASM1291348v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/913/485/GCF_012913485.1_ASM1291348v1
Lutibacter profundi,Bacteria;FCB group;Bacteroidetes/Chlorobi group,LP1,SAMN04299808,PRJNA304382,GCA_001543325.1,Complete,2.96698,29.8,chromosome:NZ_CP013355.1/CP013355.1,,1,2568,2016-02-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/543/325/GCA_001543325.1_ASM154332v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/543/325/GCF_001543325.1_ASM154332v1
Lysinibacillus fusiformis,Bacteria;Terrabacteria group;Firmicutes,RB-21,SAMN02892976,PRJNA253769,GCA_000724775.3,Complete,4.84379,37.6,chromosome:NZ_CP010820.1/CP010820.1,,1,4600,2015-02-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/724/775/GCA_000724775.3_ASM72477v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/724/775/GCF_000724775.3_ASM72477v3
Lysobacter antibioticus,Bacteria;Proteobacteria;Gammaproteobacteria,76,SAMN03275727,PRJNA271656,GCA_001442745.1,Complete,5.91639,66.8,chromosome:NZ_CP011129.1/CP011129.1,,1,4801,2015-11-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/442/745/GCA_001442745.1_ASM144274v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/442/745/GCF_001442745.1_ASM144274v1
Macrococcus caseolyticus,Bacteria;Terrabacteria group;Firmicutes,FDAARGOS_868,SAMN13450398,PRJNA231221,GCA_016028795.1,Complete,2.17097,36.5992,chromosome:NZ_CP065729.1/CP065729.1; plasmid unnamed:NZ_CP065730.1/CP065730.1,,2,2218,2020-12-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/028/795/GCA_016028795.1_ASM1602879v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/028/795/GCF_016028795.1_ASM1602879v1
Mageeibacillus indolicus UPII9-5,Bacteria;Terrabacteria group;Firmicutes,UPII9-5,SAMN00006219,PRJNA42555,GCA_000025225.2,Complete,1.80975,44.2,chromosome:NC_013895.2/CP001850.2,,1,1456,2010-02-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/225/GCA_000025225.2_ASM2522v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/225/GCF_000025225.2_ASM2522v1
Magnetococcus marinus MC-1,Bacteria;Proteobacteria;Alphaproteobacteria,MC-1,SAMN02598452,PRJNA262,GCA_000014865.1,Complete,4.71958,54.2,chromosome:NC_008576.1/CP000471.1,,1,3728,2006-11-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/865/GCA_000014865.1_ASM1486v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/865/GCF_000014865.1_ASM1486v1
Magnetospirillum gryphiswaldense MSR-1 v2,Bacteria;Proteobacteria;Alphaproteobacteria,MSR-1,SAMEA3138838,PRJEB4690,GCA_000513295.1,Complete,4.3658,63.3,chromosome I:NC_023065.1/HG794546.1,,1,4041,2013-12-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/513/295/GCA_000513295.1_MGMSRv2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/295/GCF_000513295.1_MGMSRv2
Mahella australiensis 50-1 BON,Bacteria;Terrabacteria group;Firmicutes,50-1 BON,SAMN02232034,PRJNA42243,GCA_000213255.1,Complete,3.13597,43.5,chromosome:NC_015520.1/CP002360.1,,1,2902,2011-05-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/213/255/GCA_000213255.1_ASM21325v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/255/GCF_000213255.1_ASM21325v1
Maioricimonas rarisocia,Bacteria;PVC group;Planctomycetes,Mal4,SAMN10953974,PRJNA485700,GCA_007747795.1,Complete,7.74499,63.4,chromosome:NZ_CP036275.1/CP036275.1,,1,5665,2019-07-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/747/795/GCA_007747795.1_ASM774779v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/747/795/GCF_007747795.1_ASM774779v1
Malaciobacter molluscorum LMG 25693,Bacteria;Proteobacteria;delta/epsilon subdivisions,CECT 7696,SAMN03737954,PRJNA66821,GCA_003544935.1,Complete,2.80058,26.2,chromosome:NZ_CP032098.1/CP032098.1,,1,2700,2018-09-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/544/935/GCA_003544935.1_ASM354493v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/544/935/GCF_003544935.1_ASM354493v1
Mammaliicoccus sciuri,Bacteria;Terrabacteria group;Firmicutes,FDAARGOS_285,SAMN06173298,PRJNA231221,GCA_002209165.2,Complete,2.85381,32.5088,chromosome:NZ_CP022046.2/CP022046.2; plasmid unnamed1:NZ_CP022047.2/CP022047.2,,2,2736,2017-06-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/209/165/GCA_002209165.2_ASM220916v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/209/165/GCF_002209165.2_ASM220916v2
Mangrovivirga cuniculi,Bacteria;FCB group;Bacteroidetes/Chlorobi group,R1DC9,SAMN08931443,PRJNA450172,GCA_005166025.1,Complete,4.6619,36.1,chromosome:NZ_CP028923.1/CP028923.1,,1,3971,2019-05-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/166/025/GCA_005166025.1_ASM516602v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/166/025/GCF_005166025.1_ASM516602v1
[Mannheimia] succiniciproducens MBEL55E,Bacteria;Proteobacteria;Gammaproteobacteria,MBEL55E,SAMN02603473,PRJNA13068,GCA_000007745.1,Complete,2.31408,42.5,chromosome:NC_006300.1/AE016827.1,,1,2077,2004-09-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/745/GCA_000007745.1_ASM774v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/745/GCF_000007745.1_ASM774v1
